experiment,excluded_te_group,raw_feature_count,te_feature_count,total_feature_count,raw_balanced_accuracy,inverse_prior_balanced_accuracy,inverse_prior_at_risk_recall,inverse_prior_fit_recall,inverse_prior_unhealthy_recall,logloss,seconds,ba_delta_vs_baseline52
aggressive37_without_bmi,bmi,13,24,37,0.8933874149385383,0.950012459705397,0.9328422438234103,0.9469915839718628,0.9702035513209182,0.0885212882048043,150.6711666584015,0.0004388376787357595
safe46_categorical_reference_dropped,,13,33,46,0.8883459554835436,0.9500090909443898,0.9343695153233428,0.9476196457731441,0.9680381117366825,0.08877935257401401,190.25573754310608,0.0004354689177284987
baseline52,,13,39,52,0.8886085186620972,0.9495736220266613,0.9330110031051708,0.9486245446551941,0.9670853183196189,0.089829074540771,216.80953574180603,0.0
aggressive39_all_reference_dropped,,13,26,39,0.8965581685195954,0.9495298958772667,0.9319056298096395,0.9467403592513504,0.9699436985708099,0.08922832144892229,158.85324263572693,-4.372614939462949e-05
