split,source_feature,mean_abs_sum_error,p99_abs_sum_error,max_abs_sum_error,near_exact_sum
internal_oof_fit,sleep_duration,0.0003495310561375027,0.004020810127258301,0.08740368485450745,False
internal_oof_fit,heart_rate,1.2929020565751021e-05,0.00013460218906402588,0.11465248465538025,False
internal_oof_fit,bmi,0.00045651258398645014,0.011704608798027039,0.15213775634765625,False
internal_oof_fit,calorie_expenditure,0.00015222185148396503,0.0019386038184165955,0.56637142598629,False
internal_oof_fit,step_count,0.0015454624873111,0.025727853178977966,0.56637142598629,False
internal_oof_fit,exercise_duration,0.00010129533894633775,0.001094721257686615,0.5663702189922333,False
internal_oof_fit,water_intake,2.1495037286248806e-05,0.00018778443336486816,0.1301117241382599,False
internal_oof_fit,diet_type,1.671543094476015e-08,2.9802322387695312e-08,7.450580596923828e-08,True
internal_oof_fit,stress_level,1.384430796948224e-06,3.152294084429741e-06,3.152294084429741e-06,True
internal_oof_fit,sleep_quality,1.5855047595449771e-07,3.0919909477233887e-07,3.0919909477233887e-07,True
internal_oof_fit,physical_activity_level,4.2002036590472264e-07,8.866190910339355e-07,8.866190910339355e-07,True
internal_oof_fit,smoking_alcohol,7.007548590831165e-08,1.341104507446289e-07,1.341104507446289e-07,True
internal_oof_fit,gender,1.606471469618374e-08,2.9802322387695312e-08,2.9802322387695312e-08,True
outer_valid,sleep_duration,0.0002829425369802738,0.0033853650093078613,0.08326351642608643,False
outer_valid,heart_rate,8.024095608063375e-06,0.00011749565601348877,0.1262868493795395,False
outer_valid,bmi,0.0003743600356671248,0.009927123785018921,0.11465424299240112,False
outer_valid,calorie_expenditure,0.00010805750931742233,0.0014696642756462097,0.15213322639465332,False
outer_valid,step_count,0.0011698583702159653,0.020546726882457733,0.5663714706897736,False
outer_valid,exercise_duration,7.700124975165679e-05,0.0008867308497428894,0.1262868493795395,False
outer_valid,water_intake,1.6565361987502986e-05,0.00014136359095573425,0.08621649444103241,False
outer_valid,diet_type,2.013224418000678e-08,2.60770320892334e-08,3.725290298461914e-08,True
outer_valid,stress_level,1.1085115157635782e-06,2.498738467693329e-06,2.498738467693329e-06,True
outer_valid,sleep_quality,1.2484583639573773e-07,2.2724270820617676e-07,2.2724270820617676e-07,True
outer_valid,physical_activity_level,3.152369909842158e-07,6.705522537231445e-07,6.705522537231445e-07,True
outer_valid,smoking_alcohol,5.7355861564386595e-08,1.0058283805847168e-07,1.0058283805847168e-07,True
outer_valid,gender,1.9073805905550652e-08,2.9802322387695312e-08,2.9802322387695312e-08,True
